d_id,serial,battery,status,type
84,140304,52,deactivated,Asset tracking
85,209227,51,active,Asset tracking
86,359821,51,deactivated,Asset tracking
87,393579,63,deactivated,Asset tracking
88,846798,46,active,Asset tracking
89,294539,56,active,Asset tracking
90,238242,23,broken,Asset tracking
91,655325,100,deactivated,Buttons
92,906011,56,deactivated,Buttons
93,643996,89,broken,Asset tracking
94,625814,48,active,Asset tracking
95,960307,97,deactivated,Buttons
96,490617,43,active,Asset tracking
97,920769,58,broken,Asset tracking
98,755805,49,active,Asset tracking
99,751839,36,deactivated,Buttons
100,133093,84,active,Asset tracking
101,475306,54,deactivated,Asset tracking
102,833270,78,deactivated,Asset tracking
103,318009,76,deactivated,Buttons
104,528429,6,active,Buttons
105,190196,55,active,Buttons
106,964829,3,deactivated,Asset tracking
107,573698,47,deactivated,Asset tracking
108,776294,2,active,Asset tracking
109,199491,24,active,Asset tracking
110,471560,47,active,Buttons
111,583616,52,active,Buttons
112,937052,12,active,Asset tracking
113,456886,80,deactivated,Asset tracking
114,899689,55,deactivated,Asset tracking
115,889743,38,broken,Buttons
116,920046,16,deactivated,Buttons
117,647116,52,active,Buttons
118,742599,37,active,Asset tracking
119,844258,18,broken,Asset tracking
120,413048,94,active,Asset tracking
121,918282,96,deactivated,Asset tracking
122,475139,30,deactivated,Asset tracking
123,126544,41,deactivated,Asset tracking
124,676122,68,deactivated,Asset tracking
125,633029,34,deactivated,Asset tracking
126,364129,7,broken,Buttons
127,624606,43,deactivated,Buttons
128,890952,82,deactivated,Buttons
129,996557,32,active,Asset tracking
130,803956,47,deactivated,Buttons
131,364631,61,active,Buttons
132,548922,21,active,Buttons
133,325417,58,deactivated,Buttons
134,148255,87,deactivated,Asset tracking
135,917307,87,active,Asset tracking
136,765239,75,active,Asset tracking
137,449017,55,broken,Asset tracking
138,601380,46,deactivated,Buttons
139,152867,58,deactivated,Asset tracking
140,729594,24,deactivated,Asset tracking
141,356467,63,broken,Buttons
142,167605,24,broken,Asset tracking
143,721513,85,deactivated,Asset tracking
144,151089,81,active,Buttons
145,358517,31,deactivated,Buttons
146,171443,16,active,Buttons
147,272160,57,broken,Asset tracking
148,451462,11,deactivated,Buttons
149,139330,92,deactivated,Buttons
150,178403,42,deactivated,Buttons
151,583468,23,active,Asset tracking
152,873376,55,active,Asset tracking
153,316209,82,broken,Asset tracking
154,746490,18,deactivated,Buttons
155,873061,53,deactivated,Buttons
156,899308,18,deactivated,Buttons
157,806721,94,deactivated,Asset tracking
158,937631,53,deactivated,Buttons
159,349606,43,deactivated,Asset tracking
160,873289,40,active,Asset tracking
161,113499,62,deactivated,Buttons
162,241273,83,active,Asset tracking
163,485574,9,active,Asset tracking
164,610138,66,deactivated,Asset tracking
165,455091,48,broken,Asset tracking
166,834648,68,deactivated,Asset tracking
167,302294,1,broken,Buttons
168,840995,5,broken,Asset tracking
169,935042,23,broken,Asset tracking
170,264157,99,deactivated,Buttons
171,921662,19,active,Asset tracking
172,551819,67,active,Buttons
173,859673,4,broken,Asset tracking
174,568617,72,broken,Asset tracking
175,641789,84,active,Buttons
176,453507,69,active,Asset tracking
177,864725,88,deactivated,Asset tracking
178,429354,9,deactivated,Asset tracking
179,630291,62,deactivated,Buttons
180,276175,11,broken,Asset tracking
181,694798,79,broken,Buttons
182,432650,54,active,Buttons
183,988509,33,deactivated,Buttons
184,694217,58,deactivated,Asset tracking
185,330300,83,deactivated,Asset tracking
186,108850,93,deactivated,Buttons
187,816486,100,active,Buttons
188,991485,50,deactivated,Asset tracking
189,524323,9,active,Asset tracking
190,423784,85,deactivated,Asset tracking
191,749364,10,deactivated,Buttons
192,738196,19,broken,Asset tracking
193,401192,20,active,Asset tracking
194,770971,80,deactivated,Asset tracking
195,352300,31,active,Buttons
196,972888,45,active,Buttons
197,672814,68,active,Asset tracking
198,180004,20,deactivated,Buttons
199,571291,11,deactivated,Asset tracking
200,354074,58,broken,Buttons
201,189277,20,deactivated,Buttons
202,704188,81,deactivated,Buttons
203,920122,91,deactivated,Buttons
204,402584,11,active,Buttons
205,651881,18,broken,Buttons
206,966744,75,active,Asset tracking
207,549645,23,deactivated,Asset tracking
208,662853,1,deactivated,Buttons
209,424238,75,broken,Buttons
210,208727,68,active,Buttons
211,230874,38,deactivated,Asset tracking
212,277718,47,broken,Asset tracking
213,776095,99,active,Buttons
214,220473,60,broken,Buttons
215,833088,61,broken,Buttons
216,617589,1,deactivated,Buttons
217,189058,36,deactivated,Buttons
218,790401,19,broken,Asset tracking
219,677682,31,deactivated,Asset tracking
220,293320,8,deactivated,Buttons
221,249151,50,deactivated,Buttons
222,971428,2,broken,Asset tracking
223,130158,29,active,Buttons
224,683672,17,broken,Buttons
225,973794,46,deactivated,Buttons
226,915746,73,broken,Asset tracking
227,937019,100,active,Buttons
228,471972,45,broken,Asset tracking
229,475358,66,deactivated,Asset tracking
230,121074,54,active,Buttons
231,148740,30,active,Buttons
232,814913,17,active,Buttons
233,180421,29,active,Asset tracking
234,766598,24,broken,Asset tracking
235,597323,24,active,Buttons
236,173078,56,active,Asset tracking
237,607664,89,broken,Asset tracking
238,992220,95,active,Buttons
239,534715,82,broken,Asset tracking
240,790762,31,deactivated,Asset tracking
241,432869,88,deactivated,Asset tracking
242,332049,28,deactivated,Asset tracking
243,856354,100,broken,Asset tracking
244,385826,63,active,Buttons
245,586008,64,broken,Buttons
246,297358,83,deactivated,Buttons
247,515038,13,broken,Asset tracking
248,605384,32,deactivated,Asset tracking
249,805546,9,deactivated,Asset tracking
250,261816,95,deactivated,Buttons
251,430693,27,active,Buttons
252,809992,37,deactivated,Asset tracking
253,521369,9,active,Asset tracking
254,182461,79,active,Asset tracking
255,678893,47,active,Buttons
256,390766,87,deactivated,Asset tracking
257,942256,75,deactivated,Buttons
258,929878,7,active,Asset tracking
259,774756,43,deactivated,Buttons
260,944069,25,deactivated,Buttons
261,605827,84,active,Asset tracking
262,460513,23,deactivated,Buttons
263,873936,73,active,Asset tracking
264,265140,45,active,Asset tracking
265,311168,87,broken,Asset tracking
266,359845,77,active,Asset tracking
267,511726,65,broken,Buttons
268,757630,40,deactivated,Buttons
269,471602,73,deactivated,Buttons
270,241093,80,deactivated,Asset tracking
271,482642,65,broken,Buttons
272,315409,53,broken,Buttons
273,680333,40,broken,Asset tracking
274,698586,2,deactivated,Buttons
275,446169,35,active,Buttons
276,995925,34,active,Buttons
277,367858,35,broken,Asset tracking
278,864633,99,broken,Buttons
279,634280,70,deactivated,Asset tracking
280,213482,92,deactivated,Buttons
281,234168,87,deactivated,Asset tracking
282,933770,38,deactivated,Asset tracking
283,334662,96,deactivated,Buttons
284,824217,18,deactivated,Asset tracking
285,729193,96,deactivated,Asset tracking
286,148186,5,active,Asset tracking
287,327117,33,active,Buttons
288,247315,7,deactivated,Asset tracking
289,560440,74,active,Buttons
290,622118,11,deactivated,Asset tracking
291,900869,8,deactivated,Buttons
292,106459,26,broken,Buttons
293,940408,84,active,Asset tracking
294,767478,14,active,Buttons
295,599062,27,deactivated,Asset tracking
296,546980,34,deactivated,Asset tracking
297,598484,41,deactivated,Buttons
298,683619,62,active,Buttons
299,363338,87,deactivated,Asset tracking
300,943286,29,deactivated,Asset tracking
301,650235,8,deactivated,Buttons
302,674905,18,deactivated,Asset tracking
303,812639,2,broken,Asset tracking
304,679254,85,active,Buttons
305,585777,37,deactivated,Buttons
306,471363,47,broken,Asset tracking
307,427564,44,deactivated,Buttons
308,838557,1,active,Buttons
309,887342,8,broken,Buttons
310,401178,64,deactivated,Asset tracking
311,934857,66,deactivated,Buttons
312,201178,84,active,Asset tracking
313,465962,37,deactivated,Asset tracking
314,385015,80,active,Buttons
315,920921,47,active,Asset tracking
316,776364,96,deactivated,Buttons
317,474601,37,active,Buttons
318,603177,18,active,Asset tracking
319,163233,39,active,Buttons
320,159373,5,deactivated,Asset tracking
321,574829,39,active,Asset tracking
322,777899,73,deactivated,Asset tracking
323,573342,20,active,Buttons
324,125702,19,active,Asset tracking
325,476372,74,active,Buttons
326,148540,17,deactivated,Asset tracking
327,174824,100,deactivated,Asset tracking
328,173835,76,active,Buttons
329,429242,13,active,Buttons
330,862126,91,active,Asset tracking
331,940966,4,broken,Buttons
332,433478,29,broken,Buttons
333,331809,28,deactivated,Buttons
334,969381,8,active,Asset tracking
335,910603,49,broken,Asset tracking
336,663485,57,broken,Asset tracking
337,634721,54,deactivated,Buttons
338,368958,93,deactivated,Asset tracking
339,381431,58,deactivated,Buttons
340,943102,7,deactivated,Buttons
341,724123,97,broken,Asset tracking
342,298373,62,deactivated,Asset tracking
343,537489,93,broken,Buttons
344,434394,11,deactivated,Buttons
345,913537,23,deactivated,Buttons
346,713833,81,broken,Asset tracking
347,429432,48,deactivated,Asset tracking
348,806678,82,deactivated,Asset tracking
349,244361,36,broken,Buttons
350,920999,41,deactivated,Asset tracking
351,107496,24,broken,Buttons
352,332364,16,deactivated,Asset tracking
353,166046,29,deactivated,Buttons
354,729485,86,deactivated,Buttons
355,804565,29,deactivated,Asset tracking
356,207807,54,deactivated,Asset tracking
357,726610,86,broken,Asset tracking
358,672870,84,active,Asset tracking
359,677864,22,deactivated,Buttons
360,993622,22,active,Asset tracking
361,702823,46,deactivated,Buttons
362,993637,19,broken,Buttons
363,762437,49,deactivated,Buttons
364,919818,99,deactivated,Buttons
365,398742,91,broken,Buttons
366,948079,74,deactivated,Buttons
367,626090,58,active,Buttons
368,349193,100,active,Asset tracking
369,582039,97,broken,Buttons
370,163230,14,deactivated,Asset tracking
371,965957,39,deactivated,Asset tracking
372,774409,56,deactivated,Asset tracking
373,486617,91,deactivated,Asset tracking
374,839923,26,deactivated,Buttons
375,917128,83,broken,Asset tracking
376,216189,37,deactivated,Asset tracking
377,984320,38,deactivated,Asset tracking
378,198552,50,broken,Buttons
379,389059,49,broken,Buttons
380,985864,68,active,Buttons
381,810525,55,broken,Buttons
382,687452,45,deactivated,Buttons
383,584891,3,broken,Buttons
384,186458,49,broken,Buttons
385,170556,55,deactivated,Buttons
386,239609,87,deactivated,Asset tracking
387,270910,68,broken,Asset tracking
388,775895,99,deactivated,Asset tracking
389,963318,78,broken,Buttons
390,216332,63,deactivated,Buttons
391,562611,92,active,Buttons
392,123466,7,broken,Buttons
393,634088,78,deactivated,Asset tracking
394,111766,36,deactivated,Buttons
395,548695,77,deactivated,Asset tracking
396,489012,16,deactivated,Asset tracking
397,308073,87,active,Buttons
398,902190,54,deactivated,Asset tracking
399,800758,19,deactivated,Asset tracking
400,464634,19,deactivated,Buttons
401,169817,94,broken,Asset tracking
402,878208,5,broken,Asset tracking
403,963493,44,broken,Asset tracking
404,780574,93,deactivated,Asset tracking
405,346700,83,deactivated,Asset tracking
406,259574,4,deactivated,Asset tracking
407,311395,50,deactivated,Asset tracking
408,111742,78,active,Buttons
409,387088,35,deactivated,Buttons
410,306457,98,broken,Asset tracking
411,227739,89,broken,Asset tracking
412,600137,21,broken,Asset tracking
413,782691,90,deactivated,Asset tracking
414,468750,30,deactivated,Buttons
415,612069,38,deactivated,Buttons
416,591337,10,active,Asset tracking
417,463725,73,deactivated,Buttons
418,447571,13,deactivated,Buttons
419,186760,66,active,Buttons
420,161791,27,active,Buttons
421,316092,64,broken,Buttons
422,265871,100,deactivated,Asset tracking
423,248995,15,active,Buttons
424,763283,89,deactivated,Buttons
425,864809,2,deactivated,Buttons
426,358787,78,deactivated,Asset tracking
427,733492,32,active,Asset tracking
428,890035,11,active,Buttons
429,234206,19,deactivated,Buttons
430,329446,59,deactivated,Asset tracking
431,900991,92,broken,Asset tracking
432,662069,41,deactivated,Buttons
433,848147,79,broken,Buttons
434,760794,13,deactivated,Buttons
435,343682,12,deactivated,Buttons
436,541396,88,deactivated,Buttons
437,440448,79,broken,Asset tracking
438,338549,42,deactivated,Asset tracking
439,753011,52,deactivated,Asset tracking
440,650207,32,broken,Buttons
441,710900,58,deactivated,Asset tracking
442,888603,2,deactivated,Asset tracking
443,463444,59,active,Buttons
444,882224,62,deactivated,Asset tracking
445,377467,98,deactivated,Asset tracking
446,877071,33,deactivated,Asset tracking
447,417227,3,active,Asset tracking
448,853352,7,deactivated,Asset tracking
449,668784,78,deactivated,Buttons
450,578394,36,deactivated,Asset tracking
451,211605,96,broken,Asset tracking
452,877532,82,deactivated,Asset tracking
453,717687,94,active,Asset tracking
454,114267,7,active,Asset tracking
455,425328,65,active,Buttons
456,387808,16,deactivated,Asset tracking
457,710856,66,active,Asset tracking
458,482809,65,deactivated,Buttons
459,489547,42,broken,Buttons
460,351382,43,broken,Asset tracking
461,262376,81,deactivated,Buttons
462,496060,6,deactivated,Asset tracking
463,807613,75,active,Asset tracking
464,600002,17,deactivated,Asset tracking
465,813487,100,deactivated,Asset tracking
466,670197,57,active,Asset tracking
467,854223,37,deactivated,Asset tracking
468,168426,62,deactivated,Asset tracking
469,831966,31,active,Buttons
470,541305,89,deactivated,Buttons
471,342343,72,active,Asset tracking
472,269304,23,deactivated,Buttons
473,650228,66,active,Asset tracking
474,259551,2,active,Buttons
475,829172,85,deactivated,Asset tracking
476,943609,31,deactivated,Buttons
477,802438,93,broken,Asset tracking
478,586817,49,broken,Buttons
479,643082,84,active,Asset tracking
480,882638,67,active,Buttons
481,217727,98,deactivated,Asset tracking
482,294434,82,deactivated,Asset tracking
483,516482,36,active,Buttons
484,826499,63,deactivated,Asset tracking
485,303070,19,active,Asset tracking
486,780394,41,broken,Buttons
487,188038,57,active,Asset tracking
488,707478,96,deactivated,Asset tracking
489,706248,46,deactivated,Asset tracking
490,220525,66,broken,Asset tracking
491,426980,38,active,Buttons
492,133400,35,broken,Asset tracking
493,493761,24,deactivated,Asset tracking
494,442725,42,deactivated,Buttons
495,705968,31,active,Asset tracking
496,580425,86,active,Asset tracking
497,112457,29,deactivated,Asset tracking
498,298497,73,active,Buttons
499,693292,71,broken,Buttons
500,326366,74,active,Asset tracking
501,342923,74,deactivated,Asset tracking
502,537360,37,active,Asset tracking
503,767795,73,broken,Asset tracking
504,662504,20,active,Buttons
505,915027,11,broken,Buttons
506,135692,94,deactivated,Buttons
507,811180,67,broken,Buttons
508,614071,72,broken,Asset tracking
509,403659,42,active,Buttons
510,320817,98,active,Asset tracking
511,953980,16,deactivated,Asset tracking
512,970372,1,active,Asset tracking
513,980582,51,broken,Buttons
514,772400,54,active,Asset tracking
515,682972,36,broken,Buttons
516,132421,10,active,Buttons
517,344280,22,active,Buttons
518,522829,64,deactivated,Buttons
519,946169,36,deactivated,Asset tracking
520,645616,100,active,Asset tracking
521,899328,96,deactivated,Buttons
522,223246,13,deactivated,Buttons
523,920625,32,deactivated,Asset tracking
524,381667,40,broken,Buttons
525,132990,50,deactivated,Asset tracking
526,691137,4,broken,Asset tracking
527,153608,18,active,Asset tracking
528,626856,44,active,Buttons
529,410041,84,deactivated,Asset tracking
530,882741,8,deactivated,Buttons
531,618808,12,broken,Asset tracking
532,762805,44,deactivated,Buttons
533,407752,64,deactivated,Asset tracking
534,873578,6,deactivated,Asset tracking
535,914764,42,deactivated,Buttons
536,147685,5,deactivated,Buttons
537,616079,28,deactivated,Buttons
538,185956,94,active,Asset tracking
539,504736,30,deactivated,Asset tracking
540,906494,29,deactivated,Buttons
541,722979,57,active,Asset tracking
542,293324,88,broken,Asset tracking
543,693973,41,active,Buttons
544,358227,5,active,Buttons
545,171702,86,deactivated,Buttons
546,774857,81,active,Asset tracking
547,416353,51,broken,Asset tracking
548,452720,15,active,Buttons
549,926533,24,deactivated,Buttons
550,364609,24,active,Asset tracking
551,480075,77,deactivated,Asset tracking
552,521949,27,deactivated,Asset tracking
553,991647,78,active,Asset tracking
554,764607,50,deactivated,Buttons
555,454772,86,deactivated,Asset tracking
556,425603,54,deactivated,Asset tracking
557,963075,34,deactivated,Asset tracking
558,206294,33,broken,Asset tracking
559,710769,4,broken,Asset tracking
560,332167,70,deactivated,Buttons
561,732146,70,deactivated,Buttons
562,520832,75,broken,Buttons
563,808435,5,active,Asset tracking
564,794385,89,broken,Asset tracking
565,962785,72,active,Asset tracking
566,297487,92,broken,Asset tracking
567,405925,73,deactivated,Buttons
568,583783,39,deactivated,Buttons
569,619875,29,deactivated,Asset tracking
570,123254,7,broken,Asset tracking
571,314160,76,deactivated,Buttons
572,920310,23,active,Asset tracking
573,482354,30,broken,Asset tracking
574,797072,12,active,Buttons
575,209589,31,broken,Buttons
576,617421,84,deactivated,Buttons
577,106447,77,deactivated,Asset tracking
578,353156,15,broken,Asset tracking
579,519743,57,deactivated,Asset tracking
580,693314,17,active,Buttons
581,966955,80,deactivated,Asset tracking
582,986931,28,active,Asset tracking
583,600060,34,deactivated,Asset tracking
584,860788,40,active,Buttons
585,551226,69,active,Asset tracking
586,926027,53,deactivated,Buttons
587,936045,49,deactivated,Asset tracking
588,635946,18,deactivated,Asset tracking
589,448248,31,active,Buttons
590,135618,94,active,Asset tracking
591,223636,55,deactivated,Asset tracking
592,744738,74,deactivated,Asset tracking
593,705874,72,broken,Asset tracking
594,416660,33,active,Asset tracking
595,677599,43,broken,Asset tracking
596,118555,61,deactivated,Buttons
597,912844,41,deactivated,Buttons
598,815964,72,deactivated,Asset tracking
599,429585,46,broken,Buttons
600,997122,81,active,Buttons
601,491217,38,deactivated,Buttons
602,216052,52,deactivated,Buttons
603,178492,47,active,Buttons
604,603383,60,deactivated,Asset tracking
605,275927,65,deactivated,Asset tracking
606,366968,77,broken,Buttons
607,131576,59,broken,Asset tracking
608,864334,56,active,Buttons
609,449273,88,active,Asset tracking
610,567300,97,broken,Buttons
611,620560,22,deactivated,Buttons
612,288832,55,broken,Buttons
613,738256,60,active,Asset tracking
614,394739,96,deactivated,Asset tracking
615,445369,76,deactivated,Asset tracking
616,358295,3,active,Buttons
617,157627,83,deactivated,Asset tracking
618,827259,73,deactivated,Asset tracking
619,581151,66,deactivated,Asset tracking
620,393384,62,deactivated,Buttons
621,581594,95,active,Buttons
622,491293,60,deactivated,Buttons
623,388163,61,deactivated,Asset tracking
624,187671,18,broken,Buttons
625,815421,73,active,Asset tracking
626,792404,60,active,Buttons
627,948321,56,deactivated,Asset tracking
628,324572,6,broken,Asset tracking
629,625552,88,deactivated,Asset tracking
630,343989,71,broken,Asset tracking
631,896165,50,active,Buttons
632,384500,44,broken,Asset tracking
633,651677,68,deactivated,Asset tracking
634,413130,28,deactivated,Buttons
635,827851,18,broken,Buttons
636,884052,60,deactivated,Buttons
637,868954,45,broken,Buttons
638,481034,82,deactivated,Asset tracking
639,641577,63,active,Asset tracking
640,413478,25,deactivated,Asset tracking
641,552735,1,deactivated,Asset tracking
642,916580,63,deactivated,Asset tracking
643,586863,68,deactivated,Asset tracking
644,443460,65,deactivated,Asset tracking
645,996715,90,active,Buttons
646,427860,85,active,Asset tracking
647,472145,6,deactivated,Buttons
648,201434,95,broken,Asset tracking
649,448549,69,active,Asset tracking
650,728606,90,broken,Asset tracking
651,149928,49,active,Buttons
652,737843,31,active,Asset tracking
653,442615,39,active,Asset tracking
654,651344,54,deactivated,Asset tracking
655,463040,98,deactivated,Buttons
656,882172,13,deactivated,Buttons
657,164992,89,active,Buttons
658,474982,56,broken,Buttons
659,311862,78,broken,Buttons
660,353812,89,deactivated,Asset tracking
661,325342,41,broken,Asset tracking
662,691254,55,broken,Buttons
663,466264,100,active,Buttons
664,204445,99,deactivated,Buttons
665,905618,74,deactivated,Asset tracking
666,810903,44,deactivated,Asset tracking
667,646669,72,deactivated,Buttons
668,872029,6,active,Buttons
669,673108,17,deactivated,Asset tracking
670,267109,65,active,Asset tracking
671,133822,93,deactivated,Asset tracking
672,735304,79,active,Buttons
673,757296,89,active,Buttons
674,161131,28,broken,Asset tracking
675,767902,82,broken,Buttons
676,317656,95,deactivated,Asset tracking
677,564874,19,broken,Asset tracking
678,815950,21,broken,Asset tracking
679,169406,22,broken,Buttons
680,927806,47,active,Asset tracking
681,500738,27,deactivated,Buttons
682,754232,68,broken,Asset tracking
683,467628,47,active,Asset tracking
684,849667,70,broken,Buttons
685,657974,46,deactivated,Buttons
686,359190,17,active,Asset tracking
687,587120,19,deactivated,Buttons
688,392805,50,deactivated,Buttons
689,678017,6,deactivated,Asset tracking
690,247243,58,active,Asset tracking
691,455787,71,active,Buttons
692,200497,25,deactivated,Asset tracking
693,576465,87,active,Asset tracking
694,560010,95,deactivated,Asset tracking
695,686180,75,deactivated,Buttons
696,437371,77,deactivated,Buttons
697,721919,67,deactivated,Asset tracking
698,442260,97,broken,Buttons
699,185602,3,deactivated,Asset tracking
700,574191,34,deactivated,Asset tracking
701,331753,69,broken,Asset tracking
702,387215,18,deactivated,Asset tracking
703,938426,35,active,Buttons
704,916374,18,active,Buttons
705,489324,82,deactivated,Asset tracking
706,199276,77,deactivated,Buttons
707,303697,9,active,Buttons
708,420640,75,deactivated,Buttons
709,128545,30,deactivated,Buttons
710,245110,25,deactivated,Asset tracking
711,866290,68,deactivated,Asset tracking
712,393152,33,deactivated,Buttons
713,555857,21,deactivated,Buttons
714,618468,31,broken,Buttons
715,978855,23,deactivated,Asset tracking
716,462804,71,deactivated,Asset tracking
717,104670,34,deactivated,Buttons
718,781197,38,broken,Buttons
719,587113,71,deactivated,Buttons
720,936002,42,deactivated,Asset tracking
721,417234,87,deactivated,Asset tracking
722,339464,53,deactivated,Asset tracking
723,329046,45,active,Buttons
724,926214,69,active,Asset tracking
725,576783,37,deactivated,Buttons
726,904540,4,deactivated,Buttons
727,713375,87,broken,Asset tracking
728,270213,95,deactivated,Asset tracking
729,701782,55,active,Buttons
730,658591,7,broken,Asset tracking
731,197177,61,deactivated,Asset tracking
732,904027,11,broken,Buttons
733,325568,38,broken,Buttons
734,371409,35,active,Asset tracking
735,191092,72,active,Buttons
736,132697,6,deactivated,Buttons
737,303237,51,deactivated,Buttons
738,449768,23,deactivated,Asset tracking
739,745196,13,deactivated,Buttons
740,857273,16,deactivated,Asset tracking
741,326480,50,deactivated,Asset tracking
742,523262,1,active,Asset tracking
743,363841,29,deactivated,Buttons
744,743304,27,active,Buttons
745,459947,91,broken,Asset tracking
746,129830,75,deactivated,Buttons
747,778999,32,broken,Buttons
748,558361,59,broken,Buttons
749,611547,32,broken,Asset tracking
750,418607,93,broken,Buttons
751,974321,82,deactivated,Asset tracking
752,422902,89,active,Buttons
753,954465,6,deactivated,Buttons
754,907026,38,broken,Buttons
755,965037,62,active,Asset tracking
756,200633,6,broken,Buttons
757,401044,12,broken,Asset tracking
758,774022,51,deactivated,Asset tracking
759,689029,68,broken,Buttons
760,900847,6,broken,Asset tracking
761,460780,51,deactivated,Asset tracking
762,344411,35,deactivated,Buttons
763,907076,88,deactivated,Buttons
764,342961,94,active,Buttons
765,855835,44,active,Buttons
766,760291,86,deactivated,Buttons
767,873602,57,broken,Asset tracking
768,855031,57,broken,Asset tracking
769,738682,36,deactivated,Asset tracking
770,644460,17,broken,Asset tracking
771,584074,58,broken,Asset tracking
772,279633,4,active,Asset tracking
773,424579,14,broken,Asset tracking
774,157663,99,broken,Asset tracking
775,432997,45,deactivated,Buttons
776,365525,56,broken,Asset tracking
777,940017,34,deactivated,Buttons
778,208027,87,active,Asset tracking
779,159023,25,broken,Asset tracking
780,214757,89,deactivated,Asset tracking
781,340537,37,active,Buttons
782,511715,59,active,Asset tracking
783,726103,66,deactivated,Buttons
784,375973,91,broken,Asset tracking
785,588916,39,active,Asset tracking
786,620427,62,deactivated,Asset tracking
787,108026,95,broken,Asset tracking
788,902557,58,deactivated,Buttons
789,744489,89,broken,Asset tracking
790,195750,49,deactivated,Buttons
791,918854,52,broken,Buttons
792,129995,10,deactivated,Asset tracking
793,512704,75,deactivated,Asset tracking
794,567428,54,deactivated,Asset tracking
795,455917,37,deactivated,Asset tracking
796,762517,84,active,Asset tracking
797,585710,78,active,Buttons
798,606263,84,deactivated,Asset tracking
799,196443,28,broken,Buttons
800,243899,65,broken,Asset tracking
801,594631,86,deactivated,Asset tracking
802,822196,72,active,Buttons
803,918548,74,deactivated,Buttons
804,346930,78,deactivated,Asset tracking
805,235462,12,deactivated,Asset tracking
806,921393,77,deactivated,Asset tracking
807,972224,3,broken,Buttons
808,115932,46,active,Asset tracking
809,254858,58,deactivated,Asset tracking
810,562007,94,deactivated,Buttons
811,469289,27,deactivated,Buttons
812,938730,96,broken,Buttons
813,310818,23,broken,Buttons
814,411175,87,deactivated,Asset tracking
815,191787,38,deactivated,Asset tracking
816,730745,72,deactivated,Buttons
817,519040,96,deactivated,Buttons
818,293553,9,deactivated,Buttons
819,385643,54,deactivated,Asset tracking
820,843913,58,deactivated,Buttons
821,712193,22,broken,Buttons
822,985889,24,deactivated,Asset tracking
823,299527,7,active,Buttons
824,536211,40,active,Buttons
825,182636,26,broken,Asset tracking
826,896548,27,deactivated,Buttons
827,654399,54,broken,Buttons
828,188300,93,deactivated,Buttons
829,193799,2,deactivated,Asset tracking
830,497063,65,active,Buttons
831,555997,97,broken,Buttons
832,526632,9,broken,Buttons
